nds_id	link_name_chn	link_length	road_class	link_type	xy	dir
5127158248381612056	G42沪蓉高速	195	41000	0	LINESTRING(111.652701 30.749901,111.650662 30.749965)	2
5127158265561481219	G42沪蓉高速	186	41000	0	LINESTRING(111.700707 30.750652,111.701088 30.750732,111.702231 30.750990,111.702590 30.751070)	0
5127159785979904036	G42沪蓉高速	920	41000	0	LINESTRING(111.836797 30.776213,111.838261 30.776455,111.839442 30.776621,111.840820 30.776798,111.845691 30.777442,111.846292 30.777517)	0
5127159803159773248	G42沪蓉高速	315	41000	0	LINESTRING(111.862798 30.780913,111.861066 30.780387,111.859676 30.780001)	2
5127158244086644749	G42沪蓉高速	10	41000	0	LINESTRING(111.630599 30.747492,111.630707 30.747519)	0
5127158080877887489	G42沪蓉高速	599	41000	0	LINESTRING(111.581601 30.739483,111.582454 30.739746,111.583114 30.739934,111.584744 30.740379,111.586102 30.740717,111.587582 30.741060)	0
5127158244086644742	G42沪蓉高速	223	41000	0	LINESTRING(111.631227 30.747653,111.631699 30.747771,111.633475 30.748195)	0
5127158248381612050	G42沪蓉高速	346	41000	0	LINESTRING(111.646403 30.749858,111.648356 30.749901,111.650019 30.749901)	0
5127159777389969425	G42沪蓉高速	94	41000	0	LINESTRING(111.881386 30.790075,111.880614 30.789544)	2
5127158248381612037	G42沪蓉高速	332	41000	0	LINESTRING(111.657985 30.749719,111.656236 30.749745,111.654519 30.749810)	2
5127159798864805905	G42沪蓉高速	156	41000	0	LINESTRING(111.849913 30.778096,111.848298 30.777882)	2
5127156852517240838	G42沪蓉高速	180	41000	3	LINESTRING(111.769795 30.761746,111.767923 30.761901)	2
5127158244086644896	G42沪蓉高速	172	41000	0	LINESTRING(111.633448 30.748297,111.632783 30.748147,111.631710 30.747884)	2
5127158248381612053	G42沪蓉高速	200	41000	0	LINESTRING(111.652631 30.749820,111.654713 30.749708)	0
5127158321396056069	G42沪蓉高速	1159	41000	0	LINESTRING(111.755810 30.761574,111.756594 30.761617,111.757929 30.761719,111.759335 30.761821,111.761105 30.761907,111.762961 30.761944,111.764179 30.761944,111.765386 30.761917,111.767156 30.761842,111.767907 30.761794)	0
5127156839632339153	G42沪蓉高速	292	41000	0	LINESTRING(111.745495 30.761869,111.746267 30.761831,111.747785 30.761719,111.748536 30.761654)	0
5127158321396056064	G42沪蓉高速	696	41000	0	LINESTRING(111.755810 30.761670,111.754383 30.761617,111.753150 30.761595,111.752930 30.761595,111.751910 30.761601,111.750720 30.761633,111.749368 30.761697,111.749030 30.761719,111.748547 30.761751)	2
5127158055108083730	G42沪蓉高速	112	41000	3	LINESTRING(111.598794 30.742723,111.599121 30.742788,111.599942 30.742943)	0
5127158261266513921	汪家冲大桥	684	41000	3	LINESTRING(111.677452 30.749740,111.675854 30.749944,111.674100 30.750142,111.673488 30.750201,111.672302 30.750276,111.670344 30.750362)	2
5127159777389969414	G42沪蓉高速	1180	41000	0	LINESTRING(111.880614 30.789544,111.879203 30.788594,111.878183 30.787956,111.877223 30.787377,111.875249 30.786245,111.873956 30.785542,111.872594 30.784850,111.871880 30.784507,111.870282 30.783761)	2
5127158055108083729	G42沪蓉高速	179	41000	0	LINESTRING(111.596949 30.742428,111.598794 30.742723)	0
5127158248381612036	G42沪蓉高速	329	41000	0	LINESTRING(111.654713 30.749708,111.656435 30.749643,111.658151 30.749622)	0
5127158308511154230	G42沪蓉高速	50	41000	0	LINESTRING(111.749073 30.761713,111.748987 30.761719,111.748810 30.761729,111.748547 30.761751)	2
5127159798864806136	G42沪蓉高速	26	41000	0	LINESTRING(111.848298 30.777882,111.848019 30.777844)	2
5127159803159773185	沮河大桥	785	41000	3	LINESTRING(111.862825 30.780816,111.863823 30.781138,111.864912 30.781519,111.866693 30.782163,111.867567 30.782506,111.868817 30.783010,111.870067 30.783557,111.870330 30.783675)	0
5127158261266513924	G42沪蓉高速	432	41000	0	LINESTRING(111.670344 30.750362,111.668960 30.750362,111.668086 30.750346,111.666863 30.750293,111.665833 30.750223)	2
5127156839632339155	G42沪蓉高速	299	41000	0	LINESTRING(111.737754 30.761756,111.738988 30.761842,111.740870 30.761923)	0
5127158055108083735	G42沪蓉高速	600	41000	0	LINESTRING(111.587561 30.741146,111.586080 30.740814,111.585211 30.740610,111.583081 30.740030,111.582105 30.739746,111.581563 30.739585)	2
5127158248381612043	G42沪蓉高速	388	41000	0	LINESTRING(111.663526 30.750008,111.662174 30.749885,111.661461 30.749831,111.660168 30.749767,111.659482 30.749751)	2
5127159777389969423	G42沪蓉高速	111	41000	0	LINESTRING(111.880614 30.789410,111.881526 30.790038)	0
5127158261266513920	汪家冲大桥	682	41000	3	LINESTRING(111.670361 30.750260,111.671594 30.750223,111.672276 30.750191,111.673810 30.750078,111.675816 30.749858,111.677442 30.749643)	0
5127158261266513969	G42沪蓉高速	90	41000	0	LINESTRING(111.666772 30.750287,111.666300 30.750255,111.665833 30.750223)	2
5127158308511154179	G42沪蓉高速	52	41000	0	LINESTRING(111.737207 30.761708,111.737330 30.761719,111.737754 30.761756)	0
5127159798864805909	G42沪蓉高速	344	41000	0	LINESTRING(111.855669 30.779051,111.853641 30.778660,111.852145 30.778413)	2
5127159798864805933	G42沪蓉高速	33	41000	0	LINESTRING(111.846292 30.777517,111.846641 30.777565)	0
5127158055108083728	G42沪蓉高速	115	41000	0	LINESTRING(111.598767 30.742820,111.597582 30.742632)	2
5127158248381612058	G42沪蓉高速	184	41000	0	LINESTRING(111.663800 30.749922,111.664755 30.750019,111.665039 30.750046,111.665715 30.750105)	0
5127158265561481218	G42沪蓉高速	199	41000	0	LINESTRING(111.698674 30.750260,111.700707 30.750652)	0
5127159798864805906	G42沪蓉高速	183	41000	0	LINESTRING(111.848052 30.777737,111.849945 30.777994)	0
